person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
26,32000,RENT,5.0,VENTURE,D,1600,14.46,0.05,Y,3,yes
28,56000,RENT,7.0,DEBTCONSOLIDATION,F,20000,18.25,0.36,Y,10,yes
27,38004,MORTGAGE,0.0,DEBTCONSOLIDATION,D,12000,16.77,0.32,N,6,yes
32,78500,RENT,4.0,EDUCATION,B,15000,,0.19,N,7,yes
36,54000,MORTGAGE,1.0,MEDICAL,E,10000,14.93,0.19,Y,11,yes
26,32496,MORTGAGE,8.0,DEBTCONSOLIDATION,D,4200,16.02,0.13,N,3,yes
39,80000,MORTGAGE,18.0,MEDICAL,C,5600,13.43,0.07,N,17,no
23,108000,RENT,4.0,VENTURE,B,4300,11.83,0.04,N,4,no
28,48876,RENT,5.0,PERSONAL,D,3000,14.59,0.06,N,8,no
27,32000,MORTGAGE,0.0,VENTURE,A,9850,8.94,0.31,N,5,no
21,58800,MORTGAGE,5.0,EDUCATION,D,25000,14.09,0.43,N,2,no
24,70000,MORTGAGE,2.0,PERSONAL,A,17000,7.51,0.24,N,4,no
26,45760,RENT,8.0,DEBTCONSOLIDATION,C,11500,11.78,0.25,N,4,no
25,27096,RENT,7.0,DEBTCONSOLIDATION,A,5000,7.9,0.18,N,2,yes
28,103800,MORTGAGE,,MEDICAL,C,10000,14.27,0.1,Y,8,no
24,92000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,22000,10.99,0.24,N,4,no
24,56000,RENT,3.0,EDUCATION,D,20000,14.61,0.36,Y,4,yes
30,62000,MORTGAGE,1.0,VENTURE,A,15000,6.03,0.24,N,10,no
29,40000,RENT,1.0,DEBTCONSOLIDATION,A,3600,8.59,0.09,N,5,no
22,45996,RENT,6.0,EDUCATION,B,2000,11.36,0.04,N,4,no
25,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,12000,10.37,0.17,N,4,no
28,60000,RENT,8.0,EDUCATION,A,10000,8.9,0.17,N,9,no
23,58650,MORTGAGE,7.0,MEDICAL,A,5000,8.59,0.07,N,3,yes
31,70000,RENT,0.0,PERSONAL,C,10000,,0.14,Y,8,no
22,24000,RENT,1.0,PERSONAL,C,15000,12.73,0.63,Y,4,yes
21,30000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,13250,13.99,0.44,N,3,yes
22,58896,MORTGAGE,6.0,EDUCATION,A,9500,6.76,0.16,N,4,no
34,40000,RENT,3.0,MEDICAL,B,25000,10.25,0.63,N,8,yes
21,18000,RENT,,VENTURE,C,2400,14.72,0.13,N,2,no
21,21000,RENT,5.0,MEDICAL,F,5000,20.89,0.24,N,2,yes
24,39600,RENT,7.0,HOMEIMPROVEMENT,B,10000,10.36,0.25,N,3,yes
24,144000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,14700,7.66,0.1,N,3,no
30,60000,RENT,7.0,PERSONAL,C,18950,15.96,0.32,Y,6,yes
24,60000,RENT,4.0,VENTURE,A,15000,6.17,0.25,N,3,no
22,20400,RENT,5.0,MEDICAL,C,3250,14.26,0.16,Y,2,yes
42,27000,RENT,4.0,MEDICAL,B,9000,11.11,0.33,N,16,yes
21,49000,RENT,5.0,DEBTCONSOLIDATION,D,6000,14.84,0.12,Y,4,yes
22,18000,RENT,0.0,VENTURE,C,3500,13.48,0.19,Y,2,yes
31,78000,RENT,0.0,HOMEIMPROVEMENT,E,18000,18.79,0.23,N,9,yes
31,96000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9600,5.99,0.1,N,10,no
22,34000,RENT,1.0,PERSONAL,C,6500,13.22,0.19,Y,3,yes
33,163400,MORTGAGE,17.0,EDUCATION,E,10000,18.39,0.06,N,5,yes
24,88000,MORTGAGE,8.0,HOMEIMPROVEMENT,D,25000,14.54,0.28,N,2,no
28,25200,RENT,5.0,PERSONAL,D,11500,14.46,0.46,Y,6,yes
24,59000,RENT,2.0,DEBTCONSOLIDATION,D,6000,16.0,0.1,N,4,yes
32,47000,OWN,8.0,VENTURE,A,6000,8.9,0.13,N,5,no
42,54000,RENT,4.0,DEBTCONSOLIDATION,C,16000,12.87,0.3,Y,14,yes
27,62000,RENT,4.0,DEBTCONSOLIDATION,A,16000,7.88,0.26,N,10,no
37,85000,MORTGAGE,2.0,VENTURE,A,5600,5.42,0.07,N,13,no
23,45286,RENT,5.0,PERSONAL,A,8000,7.29,0.18,N,4,no
32,15600,RENT,4.0,HOMEIMPROVEMENT,A,5000,5.42,0.32,N,5,yes
32,42000,OWN,15.0,MEDICAL,B,1800,10.2,0.04,N,9,no
28,39600,RENT,4.0,PERSONAL,C,4000,12.61,0.1,N,10,yes
27,42996,RENT,11.0,MEDICAL,C,7500,11.91,0.17,N,7,yes
26,54000,MORTGAGE,10.0,MEDICAL,C,10000,,0.19,N,3,yes
22,30000,RENT,1.0,EDUCATION,D,4000,14.96,0.13,Y,2,yes
42,13200,RENT,4.0,VENTURE,C,2500,,0.19,Y,15,yes
26,26400,RENT,6.0,MEDICAL,C,6000,6.0,0.23,N,4,no
24,63508,MORTGAGE,8.0,HOMEIMPROVEMENT,B,2500,11.14,0.04,N,4,yes
23,42000,RENT,4.0,EDUCATION,C,12000,13.49,0.29,N,2,no
33,53000,RENT,6.0,HOMEIMPROVEMENT,C,6700,13.49,0.13,N,6,no
31,48000,RENT,5.0,EDUCATION,B,11200,,0.23,N,5,no
37,12360,RENT,3.0,VENTURE,B,4000,9.99,0.32,N,13,yes
24,47000,RENT,0.0,MEDICAL,B,1450,10.74,0.03,N,4,no
22,45000,MORTGAGE,5.0,MEDICAL,B,6500,10.65,0.14,N,4,no
35,50000,RENT,1.0,EDUCATION,A,3000,7.88,0.06,N,8,no
22,23000,RENT,6.0,MEDICAL,C,4850,14.27,0.21,Y,3,no
21,24000,RENT,5.0,EDUCATION,B,5000,,0.21,N,4,no
24,37500,MORTGAGE,2.0,DEBTCONSOLIDATION,A,5600,8.94,0.15,N,4,no
27,65000,RENT,2.0,HOMEIMPROVEMENT,A,4000,5.99,0.06,N,5,no
25,110000,RENT,8.0,HOMEIMPROVEMENT,C,12000,12.23,0.11,Y,2,no
21,48000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,18000,15.62,0.38,Y,3,yes
28,74000,MORTGAGE,6.0,VENTURE,E,7000,15.38,0.09,N,9,yes
37,80000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,13000,6.62,0.16,N,16,no
23,50000,RENT,0.0,DEBTCONSOLIDATION,B,5000,10.25,0.1,N,2,no
27,30000,RENT,4.0,MEDICAL,D,2400,17.49,0.08,Y,10,yes
21,83004,MORTGAGE,2.0,DEBTCONSOLIDATION,D,10000,15.28,0.12,N,4,yes
23,138000,RENT,1.0,DEBTCONSOLIDATION,D,5000,14.91,0.04,N,4,yes
38,45000,RENT,1.0,EDUCATION,B,4000,11.49,0.09,N,15,yes
21,14400,RENT,4.0,MEDICAL,B,5500,11.48,0.38,N,3,yes
43,68000,OWN,9.0,EDUCATION,A,5000,6.99,0.07,N,15,no
32,65000,MORTGAGE,16.0,DEBTCONSOLIDATION,A,5500,7.51,0.08,N,7,no
39,150000,MORTGAGE,9.0,MEDICAL,A,30000,8.9,0.2,N,11,no
31,200000,MORTGAGE,1.0,MEDICAL,B,7800,9.63,0.04,N,5,no
22,50000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,12000,7.9,0.24,N,4,no
22,74500,MORTGAGE,6.0,VENTURE,C,8000,15.96,0.11,N,3,no
30,40800,RENT,7.0,PERSONAL,B,2400,11.49,0.06,N,9,yes
27,60000,RENT,2.0,VENTURE,B,9200,12.42,0.15,N,7,no
22,25000,RENT,0.0,DEBTCONSOLIDATION,B,4000,10.36,0.16,N,2,no
23,46000,RENT,2.0,VENTURE,D,6800,15.65,0.15,Y,4,yes
28,84000,MORTGAGE,1.0,DEBTCONSOLIDATION,D,3000,15.99,0.04,Y,6,yes
23,42000,RENT,7.0,DEBTCONSOLIDATION,B,15000,11.83,0.36,N,2,yes
22,50000,RENT,3.0,DEBTCONSOLIDATION,B,6000,10.25,0.12,N,3,no
22,51996,OWN,6.0,VENTURE,C,8400,12.98,0.16,Y,4,no
30,30809,RENT,1.0,MEDICAL,B,11200,11.99,0.36,N,8,yes
50,58800,MORTGAGE,12.0,MEDICAL,E,22000,17.74,0.37,Y,13,yes
24,113217,MORTGAGE,2.0,EDUCATION,A,6000,7.88,0.05,N,3,no
24,110000,MORTGAGE,7.0,PERSONAL,A,12000,8.94,0.11,N,3,no
27,113000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6425,6.03,0.06,N,7,no
23,18000,RENT,1.0,VENTURE,C,3250,13.22,0.18,N,2,yes
23,34800,RENT,0.0,MEDICAL,B,7000,11.99,0.2,N,2,yes
26,80000,RENT,0.0,VENTURE,C,9000,13.16,0.11,Y,2,no
32,25000,RENT,0.0,PERSONAL,C,3000,13.48,0.12,Y,6,no
23,54660,RENT,6.0,MEDICAL,B,17000,9.88,0.31,N,4,yes
25,88000,RENT,9.0,EDUCATION,E,10000,17.88,0.11,Y,4,yes
42,13200,RENT,4.0,DEBTCONSOLIDATION,C,2500,,0.19,Y,14,yes
22,32000,RENT,1.0,EDUCATION,D,5400,16.29,0.17,Y,2,yes
29,76000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,20000,,0.26,Y,8,yes
25,47000,RENT,1.0,DEBTCONSOLIDATION,A,9000,7.51,0.19,N,3,no
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,0.46,N,4,yes
30,35000,MORTGAGE,14.0,MEDICAL,A,2000,5.42,0.06,N,9,no
34,135000,MORTGAGE,2.0,MEDICAL,A,15000,5.42,0.11,N,6,no
25,76800,MORTGAGE,9.0,DEBTCONSOLIDATION,D,15000,14.96,0.2,N,2,yes
23,85000,RENT,2.0,VENTURE,C,12000,13.16,0.14,Y,2,no
29,42000,MORTGAGE,6.0,EDUCATION,A,5500,7.66,0.13,N,10,yes
23,95000,MORTGAGE,3.0,HOMEIMPROVEMENT,F,15000,17.03,0.16,N,2,yes
27,44000,RENT,5.0,EDUCATION,B,13650,10.65,0.31,N,5,yes
25,110000,MORTGAGE,9.0,PERSONAL,A,20000,7.88,0.18,N,2,no
24,39000,RENT,2.0,DEBTCONSOLIDATION,E,16000,19.91,0.41,N,3,yes
25,55044,RENT,4.0,VENTURE,E,18250,17.56,0.33,N,2,yes
29,120000,RENT,3.0,DEBTCONSOLIDATION,A,15000,9.63,0.13,N,6,no
24,98000,RENT,4.0,EDUCATION,C,14000,14.26,0.14,N,3,yes
41,19200,RENT,2.0,MEDICAL,D,2950,16.49,0.15,Y,12,yes
44,88000,RENT,8.0,EDUCATION,B,8000,10.38,0.09,N,11,no
27,49000,RENT,3.0,EDUCATION,B,3000,11.71,0.06,N,8,yes
22,30000,RENT,7.0,EDUCATION,C,6000,14.79,0.2,N,4,yes
24,92000,RENT,8.0,MEDICAL,B,24500,11.46,0.27,N,4,no
25,106000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,6.54,0.11,N,2,no
25,13296,RENT,,HOMEIMPROVEMENT,B,4950,9.63,0.37,N,3,yes
32,348000,MORTGAGE,16.0,PERSONAL,B,25000,11.83,0.07,N,10,no
34,33500,RENT,4.0,MEDICAL,B,8400,10.99,0.25,N,9,yes
31,54996,RENT,5.0,PERSONAL,A,5000,8.0,0.09,N,9,no
24,36000,RENT,4.0,VENTURE,B,18200,8.88,0.51,N,4,yes
26,54000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,3600,12.69,0.07,N,4,yes
24,53184,MORTGAGE,8.0,PERSONAL,B,13500,10.99,0.25,N,4,no
34,120000,MORTGAGE,2.0,EDUCATION,B,4200,12.69,0.04,N,6,no
36,53126,RENT,1.0,MEDICAL,D,8000,,0.15,N,11,yes
37,89000,MORTGAGE,3.0,EDUCATION,A,5000,6.91,0.06,N,15,no
28,39000,MORTGAGE,13.0,MEDICAL,D,3375,14.83,0.09,N,8,yes
29,38004,RENT,3.0,MEDICAL,C,1500,14.35,0.04,Y,10,no
40,108000,OWN,,PERSONAL,A,3500,,0.03,N,15,no
26,156000,MORTGAGE,6.0,VENTURE,C,9600,14.27,0.06,Y,2,no
25,22000,RENT,3.0,PERSONAL,E,5000,16.32,0.23,N,3,yes
24,54000,MORTGAGE,9.0,MEDICAL,A,10000,9.63,0.19,N,2,yes
22,71000,RENT,6.0,EDUCATION,A,1500,6.99,0.02,N,3,no
28,92000,RENT,4.0,DEBTCONSOLIDATION,A,15000,7.9,0.16,N,9,no
28,64000,MORTGAGE,3.0,MEDICAL,C,5000,13.23,0.08,N,6,no
30,9600,RENT,,PERSONAL,A,1800,5.99,0.19,N,8,yes
35,84000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,20000,11.54,0.24,Y,6,yes
26,140000,RENT,5.0,VENTURE,B,8400,12.53,0.06,N,2,no
35,27996,RENT,14.0,MEDICAL,B,8500,11.58,0.3,N,6,no
22,46000,RENT,0.0,DEBTCONSOLIDATION,B,9600,10.99,0.21,N,4,no
27,73000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,18000,12.69,0.25,N,6,yes
25,54000,OWN,9.0,EDUCATION,C,15000,,0.28,Y,4,no
26,120000,MORTGAGE,0.0,EDUCATION,A,6000,,0.05,N,2,no
27,54000,MORTGAGE,,DEBTCONSOLIDATION,A,2000,7.14,0.04,N,9,no
23,28000,RENT,0.0,EDUCATION,A,6000,9.63,0.21,N,4,no
26,75000,MORTGAGE,9.0,EDUCATION,C,4000,12.99,0.05,N,2,no
31,201996,MORTGAGE,11.0,EDUCATION,C,20000,,0.1,N,10,no
35,80004,RENT,5.0,EDUCATION,A,10000,7.51,0.12,N,10,no
31,10000,RENT,2.0,EDUCATION,A,3250,7.88,0.33,N,10,yes
30,43800,MORTGAGE,,DEBTCONSOLIDATION,D,13200,16.29,0.3,N,9,yes
33,67000,RENT,8.0,HOMEIMPROVEMENT,C,18000,13.11,0.27,Y,7,yes
28,24000,RENT,0.0,DEBTCONSOLIDATION,C,10000,12.87,0.42,N,8,yes
26,24000,RENT,0.0,EDUCATION,D,1500,14.54,0.06,Y,4,yes
29,27000,RENT,1.0,DEBTCONSOLIDATION,D,12000,13.24,0.44,Y,6,yes
38,95000,OWN,6.0,VENTURE,E,14000,17.74,0.15,Y,17,no
22,40680,RENT,2.0,HOMEIMPROVEMENT,B,6000,11.36,0.15,N,4,yes
25,59623,MORTGAGE,9.0,MEDICAL,B,3400,,0.05,N,2,yes
27,63844,MORTGAGE,11.0,DEBTCONSOLIDATION,A,20000,6.54,0.31,N,10,no
23,76896,MORTGAGE,8.0,EDUCATION,B,25000,11.71,0.33,N,2,no
32,12000,RENT,3.0,MEDICAL,C,900,10.28,0.07,N,5,yes
24,16800,RENT,2.0,DEBTCONSOLIDATION,D,6000,14.84,0.36,Y,4,yes
24,55000,MORTGAGE,,HOMEIMPROVEMENT,A,7000,7.14,0.13,N,3,yes
31,45000,MORTGAGE,12.0,DEBTCONSOLIDATION,C,12250,14.27,0.27,Y,10,no
24,32400,RENT,0.0,EDUCATION,C,1600,13.98,0.05,N,3,yes
25,122000,MORTGAGE,1.0,PERSONAL,C,35000,13.8,0.29,Y,3,no
26,9840,RENT,5.0,VENTURE,B,1750,9.99,0.18,N,4,yes
28,38500,RENT,2.0,PERSONAL,B,12000,10.75,0.31,N,5,yes
34,36000,RENT,5.0,DEBTCONSOLIDATION,A,14000,7.51,0.39,N,6,yes
24,65000,RENT,1.0,MEDICAL,A,4000,5.42,0.06,N,2,no
25,50400,MORTGAGE,9.0,DEBTCONSOLIDATION,D,12000,16.89,0.24,N,4,yes
24,110000,OWN,0.0,HOMEIMPROVEMENT,C,10000,13.35,0.09,Y,2,no
28,20000,RENT,5.0,DEBTCONSOLIDATION,B,4000,10.99,0.2,N,9,no
23,70522,RENT,7.0,MEDICAL,C,9325,10.91,0.13,Y,3,no
31,78000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5000,,0.06,N,7,yes
24,7800,RENT,1.0,EDUCATION,B,1000,11.36,0.13,N,4,no
24,33600,RENT,2.0,PERSONAL,A,9450,7.66,0.28,N,2,yes
26,30720,RENT,4.0,DEBTCONSOLIDATION,B,10000,11.49,0.33,N,3,yes
26,51000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,7.29,0.24,N,4,no
22,29124,MORTGAGE,0.0,MEDICAL,E,8875,15.68,0.3,Y,3,yes
23,60000,RENT,2.0,DEBTCONSOLIDATION,A,5000,,0.08,N,3,no
27,30000,RENT,3.0,MEDICAL,D,10000,17.58,0.33,N,6,yes
30,32918,RENT,5.0,DEBTCONSOLIDATION,D,8000,14.59,0.24,Y,8,yes
23,42000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,1800,12.99,0.04,Y,3,yes
32,27385,MORTGAGE,3.0,HOMEIMPROVEMENT,C,2000,12.99,0.07,Y,9,yes
23,18720,RENT,,DEBTCONSOLIDATION,D,5000,16.32,0.27,Y,3,yes
29,62000,RENT,13.0,DEBTCONSOLIDATION,C,9000,,0.15,N,7,no
31,29000,RENT,7.0,HOMEIMPROVEMENT,D,13250,17.58,0.46,N,6,yes
25,125000,RENT,0.0,VENTURE,A,15000,,0.12,N,3,no
24,52000,RENT,1.0,MEDICAL,A,7000,7.74,0.13,N,4,no
27,12000,RENT,2.0,PERSONAL,C,2850,13.61,0.24,Y,5,yes
24,10800,RENT,8.0,VENTURE,A,5000,7.88,0.46,N,2,yes
30,98000,RENT,14.0,PERSONAL,C,8525,10.78,0.09,N,9,yes
24,60516,OTHER,8.0,DEBTCONSOLIDATION,B,18000,11.26,0.3,N,4,yes
34,55000,RENT,5.0,EDUCATION,A,4050,,0.07,N,9,no
23,58000,RENT,1.0,MEDICAL,B,12800,12.42,0.22,N,2,no
21,36450,RENT,0.0,EDUCATION,A,6000,8.63,0.16,N,3,no
26,66000,RENT,2.0,PERSONAL,D,15000,16.02,0.23,N,2,yes
22,60000,RENT,2.0,EDUCATION,B,8000,10.0,0.13,N,4,no
24,42000,RENT,0.0,MEDICAL,A,12000,7.66,0.29,N,2,no
23,65000,MORTGAGE,5.0,EDUCATION,B,4000,11.49,0.06,N,4,no
36,35000,OWN,1.0,VENTURE,B,6000,11.49,0.17,N,13,no
25,67200,MORTGAGE,6.0,HOMEIMPROVEMENT,B,3250,11.49,0.05,N,2,no
23,64000,MORTGAGE,0.0,DEBTCONSOLIDATION,D,12000,15.62,0.19,Y,4,yes
36,21996,RENT,3.0,PERSONAL,D,2400,14.11,0.11,N,11,no
25,115000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,19000,13.49,0.17,N,4,no
23,30000,RENT,7.0,EDUCATION,B,3600,9.7,0.12,N,3,no
24,37876,RENT,4.0,MEDICAL,B,8000,9.63,0.21,N,2,no
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,0.23,N,4,yes
22,34992,RENT,1.0,PERSONAL,B,5000,,0.14,N,3,no
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,0.31,N,2,yes
30,50000,MORTGAGE,12.0,DEBTCONSOLIDATION,C,8000,13.06,0.16,Y,5,no
23,48000,RENT,4.0,EDUCATION,C,1600,13.98,0.03,N,3,no
35,80000,RENT,19.0,VENTURE,D,25000,14.09,0.31,Y,10,yes
26,45928,RENT,5.0,HOMEIMPROVEMENT,A,6000,7.9,0.13,N,4,yes
23,18000,RENT,2.0,HOMEIMPROVEMENT,C,8500,,0.47,Y,3,yes
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,0.23,Y,4,yes
27,49000,MORTGAGE,0.0,PERSONAL,B,15000,9.76,0.31,N,7,yes
29,84000,MORTGAGE,6.0,DEBTCONSOLIDATION,D,8000,14.96,0.1,N,5,yes
35,34000,RENT,1.0,VENTURE,D,1600,14.84,0.05,Y,6,yes
23,84554,MORTGAGE,3.0,DEBTCONSOLIDATION,A,3600,6.03,0.04,N,2,no
25,63000,RENT,3.0,MEDICAL,B,20000,12.42,0.32,N,3,yes
22,18000,RENT,2.0,VENTURE,A,6000,6.62,0.33,N,2,yes
25,49200,RENT,,VENTURE,D,18250,14.83,0.37,N,3,yes
23,39000,RENT,7.0,MEDICAL,D,15000,15.28,0.38,N,3,yes
28,82000,RENT,12.0,VENTURE,G,16750,20.11,0.2,Y,10,yes
22,79200,MORTGAGE,6.0,VENTURE,B,4750,10.25,0.06,N,3,no
23,69000,RENT,7.0,DEBTCONSOLIDATION,D,6000,16.02,0.09,Y,2,yes
25,60000,RENT,9.0,EDUCATION,B,20000,,0.33,N,3,yes
31,85000,RENT,1.0,MEDICAL,A,18500,7.51,0.18,N,7,yes
24,39000,RENT,,EDUCATION,B,13000,10.75,0.33,N,4,yes
27,61500,MORTGAGE,3.0,HOMEIMPROVEMENT,B,6000,10.99,0.1,N,7,no
25,30000,RENT,9.0,HOMEIMPROVEMENT,C,5600,,0.19,Y,4,yes
31,76000,MORTGAGE,5.0,PERSONAL,C,5000,12.41,0.07,Y,9,yes
24,44000,RENT,8.0,MEDICAL,A,16000,7.49,0.36,N,2,yes
38,59475,MORTGAGE,10.0,MEDICAL,D,18125,14.84,0.26,Y,13,yes
34,65000,MORTGAGE,8.0,VENTURE,B,13750,,0.21,N,5,no
26,42000,MORTGAGE,4.0,MEDICAL,B,15000,11.26,0.36,N,4,no
35,54996,RENT,1.0,VENTURE,B,3000,12.21,0.05,N,5,no
21,33600,RENT,2.0,MEDICAL,B,12000,11.12,0.36,N,3,yes
24,60000,RENT,2.0,VENTURE,A,7200,8.49,0.12,N,2,no
32,120000,MORTGAGE,7.0,PERSONAL,D,28250,16.77,0.24,Y,9,no
23,42000,RENT,0.0,DEBTCONSOLIDATION,C,5000,,0.12,Y,2,yes
23,62000,RENT,3.0,EDUCATION,A,7200,7.9,0.12,N,3,yes
22,30000,RENT,1.0,MEDICAL,C,10000,12.53,0.33,N,4,yes
22,41000,MORTGAGE,6.0,EDUCATION,C,10000,13.57,0.24,N,4,yes
28,86400,MORTGAGE,0.0,EDUCATION,A,5000,5.79,0.06,N,5,no
29,44000,RENT,1.0,EDUCATION,D,4000,12.36,0.09,Y,8,yes
22,21996,RENT,6.0,DEBTCONSOLIDATION,C,2400,12.53,0.11,N,4,no
24,54000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,1500,5.42,0.03,N,3,yes
24,45000,RENT,8.0,MEDICAL,B,4000,11.83,0.09,N,2,no
31,27000,RENT,7.0,HOMEIMPROVEMENT,A,6000,8.94,0.22,N,6,yes
26,44000,MORTGAGE,7.0,PERSONAL,E,10000,17.14,0.23,N,4,no
30,150000,RENT,14.0,DEBTCONSOLIDATION,A,12000,7.29,0.08,N,7,no
22,37000,MORTGAGE,6.0,EDUCATION,B,7500,10.95,0.2,N,2,no
23,19200,RENT,1.0,MEDICAL,G,6200,19.82,0.32,N,3,yes
23,48500,RENT,0.0,DEBTCONSOLIDATION,B,4500,12.21,0.09,N,4,no
23,48500,RENT,5.0,MEDICAL,A,3850,8.49,0.08,N,2,no
31,62050,RENT,0.0,MEDICAL,D,3600,15.95,0.05,N,9,yes
37,45000,RENT,0.0,DEBTCONSOLIDATION,A,8000,9.63,0.18,N,14,no
21,24000,RENT,5.0,DEBTCONSOLIDATION,C,13000,12.87,0.54,N,2,yes
22,40428,RENT,4.0,MEDICAL,B,16500,10.75,0.41,N,2,yes
24,100000,MORTGAGE,8.0,MEDICAL,A,5625,6.99,0.06,N,4,no
